Palavra;Documentos
A;['00056 ', '00056 ', '00058 ', '00072 ', '00084 ', '00106 ', '00106 ', '00106 ', '00106 ', '00106 ', '00130 ', '00135 ', '00147 ', '00157 ', '00165 ', '00165 ', '00165 ', '00165 ', '00165 ', '00165 ', '00189', '00201', '00203', '00216', '00220', '00237', '00244', '00267', '00276', '00276', '00285', '00286', '00287', '00287', '00287', '00287', '00287', '00287', '00287', '00287', '00287', '00288', '00288', '00293', '00300', '00301', '00301', '00325', '00326', '00332', '00351', '00430 ', '00432 ', '00444 ', '00445 ', '00450 ', '00452 ', '00484 ', '00484 ', '00495 ', '00496 ', '00504 ', '00508 ', '00510 ', '00529 ', '00559 ', '00590 ', '00627 ', '00704 ', '00711 ', '00714 ', '00719 ', '00724 ', '00810 ', '00836 ', '00836 ', '00840 ', '00843 ', '00891 ', '00925 ', '00925 ', '00925 ', '00925 ', '00925 ', '00927 ', '00929 ', '00954 ', '00979 ', '00985 ', '00985 ', '00985 ', '00990 ', '01098 ', '01098 ', '01103 ', '01106 ', '01108 ', '01109 ', '01130 ', '01134 ', '01134 ', '01138 ', '01140 ', '01146 ', '01158 ', '01160 ', '01160 ', '01160 ', '01160 ', '01160 ', '01160 ', '01163 ', '01164', '01171 ', '01173 ', '01178 ', '01189 ', '01189 ', '01211 ', '01220 ', '01234 ']
AB;['01178 ']
ADH;['00694 ', '00694 ', '00694 ']
AFP;['00216', '00216', '00217', '00217', '00218', '00218', '00218', '00219', '00219', '00219', '00219', '00219', '00219', '00222', '00222', '00508 ', '00508 ', '00508 ']
AIP;['01146 ', '01146 ', '01146 ']
ALP;['01148 ', '01148 ']
AM;['00694 ']
AMC;['01140 ']
AMP;['00495 ', '00495 ', '00495 ', '00495 ', '00495 ', '01157 ', '01157 ', '01157 ', '01157 ', '01157 ', '01157 ']
AT;['00071 ', '00071 ', '00071 ', '00071 ', '00071 ', '00071 ', '00071 ']
ATPase;['00125 ', '00125 ', '00125 ']
Abnormalities;['00352']
About;['00331']
Above;['00129 ']
Abstracts;['01013 ']
According;['00241', '00489 ', '01098 ']
Achylia;['00322']
Acquired;['00933 ']
Acute;['00761 ', '00761 ']
Adelaide;['01148 ']
Administration;['00810 ']
Adverse;['00296']
Africa;['00343', '00343', '01166 ']
African;['00503 ']
After;['00694 ', '00777 ', '00922 ', '01066 ']
Again;['00740 ']
Against;['00432 ']
Aged;['00615 ']
Agenesis;['00250']
Agglutination;['00392 ']
Agnese;['00103 ', '00112 ']
Albumaid;['00212']
All;['00060 ', '00063 ', '00244', '00283', '00287', '00288', '00297', '00350', '00487 ', '00518 ', '00596 ', '00882 ', '00915 ']
Allergic;['00058 ']
Allergy;['01091 ']
Almost;['00294']
Alpha;['01178 ']
Alpine;['01166 ']
Also;['00694 ', '00732 ']
Alternatively;['00693 ', '01139 ']
Although;['00067 ', '00091 ', '00098 ', '00104 ', '00115 ', '00241', '00264', '00279', '00281', '00289', '00333', '00351', '00359 ', '00423 ', '00435 ', '00440 ', '00442 ', '00445 ', '00504 ', '00505 ', '00518 ', '00559 ', '00643 ', '00687 ', '00985 ', '01066 ', '01096 ', '01097 ', '01099 ', '01099 ', '01108 ', '01139 ', '01170 ', '01183 ', '01206 ']
Altland;['00740 ']
Always;['00911 ']
Ament;['00902 ']
America;['00104 ', '00343', '00452 ']
American;['01122 ']
Amniocentesis;['00360 ']
Ampola;['00927 ']
An;['00104 ', '00262', '00281', '00297', '00328', '00343', '00370 ', '00423 ', '00487 ', '00508 ', '00517 ', '00517 ', '00582 ', '00808 ', '00843 ', '01136 ', '01139 ', '01156 ', '01167 ', '01172 ']
Analysis;['00162 ', '00332']
Anatomical;['00724 ', '01184 ']
And;['00926 ', '01004 ']
Anderson;['00322', '00704 ']
Anorexia;['00517 ']
Another;['01068 ']
Antibiotics;['00326']
Antonowicz;['01176 ']
Any;['00215', '00517 ']
Apart;['00397 ', '00485 ']
Applications;['00014 ', '01193 ']
Approaches;['00014 ', '00360 ']
Approximately;['00280', '00322']
April;['00291']
Arab;['00704 ']
Arey;['01105 ']
Arg;['01140 ']
Arterial;['00843 ']
As;['00016 ', '00018 ', '00121 ', '00135 ', '00163 ', '00242', '00244', '00281', '00291', '00496 ', '00505 ', '00525 ', '00538 ', '00607 ', '00644 ', '00755 ', '00911 ', '00985 ', '01068 ', '01146 ', '01173 ', '01173 ']
Asia;['00276']
Asian;['00039 ']
Aspergillus;['00485 ', '01169 ']
Assay;['00201']
Assessment;['01106 ']
Association;['00060 ', '01122 ']
Asthma;['00060 ']
At;['00019 ', '00077 ', '00120 ', '00125 ', '00215', '00476 ', '00503 ', '00732 ', '00872 ', '00872 ', '00942 ']
Athens;['00105 ']
Attempts;['01096 ']
Attention;['00627 ', '00818 ']
Attitudes;['00433 ']
Auckland;['00544 ']
August;['00465 ', '00628 ']
Aukland;['00105 ']
Australia;['00491 ', '00544 ']
Avon;['01163 ']
Awareness;['00095 ']
Awdeh;['00739 ']
B;['00046 ', '00107 ', '00111 ', '00111 ', '00111 ', '00111 ', '00111 ', '00118 ', '00118 ', '00432 ', '00544 ', '00697 ', '00697 ', '00697 ', '00697 ', '00860 ', '01167 ', '01173 ', '01178 ']
BM;['00071 ', '00713 ', '00713 ', '01176 ', '01182 ']
