QueryNumber;[DocRanking, DocNumber, Similarity]
00001;[0, 1031, 4.3247016131399105]
00001;[1, 484, 3.881996341658329]
00001;[2, 505, 3.4679088571634757]
00001;[3, 139, 3.0605947288365996]
00001;[4, 926, 2.6538239881075327]
00001;[5, 726, 2.538222887571648]
00001;[6, 134, 2.4481798328075723]
00001;[7, 911, 2.4060411667111197]
00001;[8, 299, 2.4018601702735274]
00001;[9, 943, 2.4008149211641294]
00001;[10, 526, 2.308426526851835]
00001;[11, 767, 2.2951268346980456]
00001;[12, 1218, 2.287810090932259]
00001;[13, 975, 2.2477619230546027]
00001;[14, 441, 2.241002939678012]
00001;[15, 1111, 2.23835468107002]
00001;[16, 490, 2.228441667000219]
00001;[17, 106, 2.137892840150926]
00001;[18, 1148, 2.1358023419321297]
00001;[19, 56, 2.1316213454945374]
00001;[20, 931, 2.1316213454945374]
00001;[21, 465, 2.1009804196014636]
00001;[22, 377, 2.0936636758356775]
00001;[23, 40, 1.6063012389183642]
00001;[24, 522, 1.566792548064888]
00001;[25, 960, 1.5573853060803056]
00001;[26, 527, 1.4069285782747925]
00001;[27, 741, 1.4058833291653945]
00001;[28, 957, 1.36478991217834]
00001;[29, 520, 1.2992317256937498]
00001;[30, 742, 1.1349060849104078]
00001;[31, 1193, 1.116549345861585]
00001;[32, 43, 1.1084941826198018]
00001;[33, 892, 1.0973925540148772]
00001;[34, 1107, 1.0629129395617538]
00001;[35, 967, 1.0035445156297143]
00001;[36, 370, 0.9569922057048909]
00001;[37, 1191, 0.9517659601579005]
00001;[38, 46, 0.9439434443068961]
00001;[39, 246, 0.9109051905616248]
00001;[40, 533, 0.9098599414522267]
00001;[41, 1026, 0.9056789450146344]
00001;[42, 435, 0.8714445268730241]
00001;[43, 861, 0.8366706317072337]
00001;[44, 1185, 0.8099856047221885]
00001;[45, 1083, 0.8028939584859658]
00001;[46, 504, 0.7955772147201793]
00001;[47, 563, 0.7726491441913461]
00001;[48, 1201, 0.7615754439693476]
00001;[49, 552, 0.7456160327727224]
00001;[50, 541, 0.7242052784995431]
00001;[51, 971, 0.7168885347337566]
00001;[52, 215, 0.7118393595514545]
00001;[53, 258, 0.6914738543876733]
00001;[54, 306, 0.6831118615124887]
00001;[55, 303, 0.651706361065671]
00001;[56, 165, 0.6508862094858368]
00001;[57, 636, 0.6475253646280787]
00001;[58, 866, 0.6446147148294483]
00001;[59, 373, 0.6425242166106522]
00001;[60, 432, 0.6414789675012541]
00001;[61, 507, 0.6383432201730599]
00001;[62, 721, 0.6362527219542637]
00001;[63, 856, 0.6347017007596478]
00001;[64, 398, 0.6341622237354676]
00001;[65, 436, 0.6252944587750652]
00001;[66, 440, 0.6184354599296211]
00001;[67, 789, 0.6111187161638346]
00001;[68, 565, 0.6065136797448621]
00001;[69, 850, 0.5980699547658398]
00001;[70, 840, 0.5894272873350012]
00001;[71, 646, 0.571152280390016]
00001;[72, 567, 0.5705647762009605]
00001;[73, 308, 0.5638355366242295]
00001;[74, 515, 0.5357908810351699]
00001;[75, 534, 0.5357908810351699]
00001;[76, 133, 0.5316098845975776]
00001;[77, 136, 0.5284741372693834]
00001;[78, 397, 0.5227421196371751]
00001;[79, 923, 0.5211573935035969]
00001;[80, 359, 0.4957427131575136]
00001;[81, 1197, 0.49264067076828166]
00001;[82, 263, 0.4884259693917271]
00001;[83, 719, 0.48738072028232904]
00001;[84, 1170, 0.48633547117293097]
00001;[85, 542, 0.4852902220635329]
00001;[86, 1234, 0.4821544747353387]
00001;[87, 821, 0.4811092256259406]
00001;[88, 734, 0.48006397651654253]
00001;[89, 76, 0.47901872740714446]
00001;[90, 1087, 0.47901872740714446]
00001;[91, 1195, 0.47901872740714446]
00001;[92, 761, 0.47901872740714446]
00001;[93, 304, 0.4785129553219265]
00001;[94, 77, 0.4785129553219265]
00001;[95, 1088, 0.4779734782977464]
00001;[96, 1232, 0.4779734782977464]
00001;[97, 1140, 0.4779734782977464]
00001;[98, 351, 0.4769282291883483]
00001;[99, 433, 0.4769282291883483]
00001;[100, 342, 0.47642245710313036]
00001;[101, 384, 0.47588298007895025]
00001;[102, 41, 0.47588298007895025]
00001;[103, 511, 0.4753772079937323]
00001;[104, 1159, 0.4748377309695522]
00001;[105, 1004, 0.4748377309695522]
00001;[106, 118, 0.47224146066553807]
00001;[107, 535, 0.47224146066553807]
00001;[108, 241, 0.47119621155614]
00001;[109, 568, 0.46910571333734385]
00001;[110, 52, 0.46224671449189986]
00001;[111, 633, 0.4612831974863395]
00001;[112, 147, 0.4612014653825018]
00001;[113, 582, 0.4570204689449095]
00001;[114, 890, 0.45605695193934914]
00001;[115, 827, 0.45492997072611335]
00001;[116, 461, 0.4538847216167153]
00001;[117, 968, 0.4301027945690857]
00001;[118, 1173, 0.4290575454596876]
00001;[119, 886, 0.4212350296086832]
00001;[120, 392, 0.41965030347510496]
00001;[121, 37, 0.41965030347510496]
00001;[122, 875, 0.4186050543657069]
00001;[123, 334, 0.4175598052563088]
00001;[124, 1090, 0.41546930703751267]
00001;[125, 1130, 0.41496353495229477]
00001;[126, 738, 0.4097372894053044]
00001;[127, 554, 0.40869204029590633]
00001;[128, 575, 0.4055562929677121]
00001;[129, 411, 0.4050505208824942]
00001;[130, 331, 0.38273788292564287]
00001;[131, 1044, 0.3775116373786525]
00001;[132, 531, 0.37646638826925444]
00001;[133, 485, 0.37542113915985637]
00001;[134, 405, 0.3743758900504583]
00001;[135, 612, 0.3743758900504583]
00001;[136, 517, 0.3733306409410602]
00001;[137, 616, 0.3733306409410602]
